,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5338,SYR,2009,16.409579897500002
5339,SYR,2010,16.4007209649
5340,SYR,2011,16.436455077799998
5341,SYR,2012,16.444923114199998
5342,SYR,2013,16.463982436400002
5343,SYR,2014,16.4840890987
5344,SYR,2015,16.505857998
5345,SYR,2016,16.536061208099998
5346,TWN,1990,13.3982284021
5347,TWN,1991,13.4516549548
5348,TWN,1992,13.4995961825
5349,TWN,1993,13.5399751996
5350,TWN,1994,13.569126620699999
5351,TWN,1995,13.5677443411
5352,TWN,1996,13.6093209498
5353,TWN,1997,13.6461698395
5354,TWN,1998,13.6712761094
5355,TWN,1999,13.6894627833
5356,TWN,2000,13.726169227500002
5357,TWN,2001,13.7580450348
5358,TWN,2002,13.7939401307
5359,TWN,2003,13.818691064100001
5360,TWN,2004,13.853660731100002
5361,TWN,2005,13.8823981436
5362,TWN,2006,13.8969785181
5363,TWN,2007,13.9034441423
5364,TWN,2008,13.919022426800003
5365,TWN,2009,13.9287189783
5366,TWN,2010,13.9379483935
5367,TWN,2011,13.949613747
5368,TWN,2012,13.971086229900001
5369,TWN,2013,13.9721053604
5370,TWN,2014,13.982211243600002
5371,TWN,2015,13.994839996400001
5372,TWN,2016,14.0108996806
5373,TJK,1990,13.527653968900001
5374,TJK,1991,13.5517341926
5375,TJK,1992,13.5837483451
5376,TJK,1993,13.6078916631
5377,TJK,1994,13.6273849991
5378,TJK,1995,13.647601763599999
5379,TJK,1996,13.6713923058
5380,TJK,1997,13.6859131709
5381,TJK,1998,13.713622934000002
5382,TJK,1999,13.740996387300001
5383,TJK,2000,13.7635544754
5384,TJK,2001,13.772988705
5385,TJK,2002,13.766646296700001
5386,TJK,2003,13.7762812234
5387,TJK,2004,13.770109650599997
5388,TJK,2005,13.7704998765
5389,TJK,2006,13.7636226323
5390,TJK,2007,13.7547079622
5391,TJK,2008,13.7485917402
5392,TJK,2009,13.7324825491
5393,TJK,2010,13.7368180901
5394,TJK,2011,13.740357123599999
5395,TJK,2012,13.7353318531
5396,TJK,2013,13.735837648199999
5397,TJK,2014,13.747221261400002
5398,TJK,2015,13.747247833800001
5399,TJK,2016,13.7594492281
5400,TZA,1990,16.1061931365
5401,TZA,1991,16.1094077886
5402,TZA,1992,16.112012512
5403,TZA,1993,16.110936539
5404,TZA,1994,16.125576215000002
5405,TZA,1995,16.129472731899998
5406,TZA,1996,16.1106778372
5407,TZA,1997,16.079242371499998
5408,TZA,1998,16.073555793
5409,TZA,1999,16.0392534724
5410,TZA,2000,16.020010135499998
5411,TZA,2001,15.990709200000001
5412,TZA,2002,15.956665149300001
5413,TZA,2003,15.9222280863
5414,TZA,2004,15.886224988099999
5415,TZA,2005,15.8553972628
5416,TZA,2006,15.830376716500002
5417,TZA,2007,15.802528193699999
5418,TZA,2008,15.772254195599999
5419,TZA,2009,15.750555530900002
5420,TZA,2010,15.72898679
5421,TZA,2011,15.7223744051
