,Code,Year,Work hours per persons engaged (hours per person engaged)
2903,TWN,1998,2245.781871030251
2904,TWN,1999,2254.3742354821525
2905,TWN,2000,2234.276893899484
2906,TWN,2001,2196.9239688798893
2907,TWN,2002,2177.6465728792045
2908,TWN,2003,2180.721654653714
2909,TWN,2004,2188.309350091968
2910,TWN,2005,2188.206045061356
2911,TWN,2006,2187.0746612600133
2912,TWN,2007,2171.05136972994
2913,TWN,2008,2133.8496875901183
2914,TWN,2009,2110.1163148166165
2915,TWN,2010,2105.924092251977
2916,TWN,2011,2105.6427023998513
2917,TWN,2012,2109.2388858195213
2918,TWN,2013,2112.2405853925416
2919,TWN,2014,2122.980791758944
2920,THA,1970,2195.2380995688445
2921,THA,1971,2195.238093804183
2922,THA,1972,2195.238093755371
2923,THA,1973,2195.238098080324
2924,THA,1974,2195.3553214870653
2925,THA,1975,2195.4725543602567
2926,THA,1976,2195.58978225859
2927,THA,1977,2195.707008862731
2928,THA,1978,2195.824238103168
2929,THA,1979,2195.9414663894377
2930,THA,1980,2196.0586932103233
2931,THA,1981,2196.1759216231108
2932,THA,1982,2196.2931530239944
2933,THA,1983,2196.410381640741
2934,THA,1984,2196.527611348768
2935,THA,1985,2196.6448329887567
2936,THA,1986,2196.7620661132314
2937,THA,1987,2196.8792926070387
2938,THA,1988,2196.996523127631
2939,THA,1989,2197.113751133629
2940,THA,1990,2197.2309807189154
2941,THA,1991,2197.348207465865
2942,THA,1992,2197.465436748705
2943,THA,1993,2238.7327194497866
2944,THA,1994,2279.999996154388
2945,THA,1995,2280.0
2946,THA,1996,2280.0
2947,THA,1997,2280.000001261261
2948,THA,1998,2280.000000531482
2949,THA,1999,2280.000003389127
2950,THA,2000,2279.999999744697
2951,THA,2001,2280.0000000000005
2952,THA,2002,2313.580388776882
2953,THA,2003,2301.308989896654
2954,THA,2004,2316.344833533767
2955,THA,2005,2287.0509846577324
2956,THA,2006,2284.7862962847244
2957,THA,2007,2284.3768026565367
2958,THA,2008,2284.3768027380147
2959,THA,2009,2284.376802085168
2960,THA,2010,2284.3768049860514
2961,THA,2011,2284.376803440664
2962,THA,2012,2284.376802401576
2963,THA,2013,2284.3768026567527
2964,THA,2014,2284.3768026567527
2965,TTO,1991,1585.060053307127
2966,TTO,1992,1564.7506491749264
2967,TTO,1993,1580.242382948321
2968,TTO,1994,1591.537625783457
2969,TTO,1995,1602.291619069389
2970,TTO,1996,1618.5392904503194
2971,TTO,1997,1627.136567105176
2972,TTO,1998,1630.5152386570733
2973,TTO,1999,1636.5250606752923
2974,TTO,2000,1663.8953375785004
2975,TTO,2001,1668.044695284623
